ID_Group,ID_Player,ID_Player,ID_Player,ID_Player
,1,2,3,4
G_10/16/2017 3:00:00 PM,463,488,511,530
G_10/16/2017 3:00:01 PM,467,493,518,532
G_10/16/2017 3:00:02 PM,465,492,515,533
G_10/16/2017 3:00:03 PM,468,494,517,534
G_10/16/2017 3:00:04 PM,451,486,509,521
G_10/16/2017 3:00:05 PM,461,491,514,529
G_10/16/2017 3:00:06 PM,466,484,513,531
G_10/16/2017 3:00:07 PM,469,495,516,520
G_10/16/2017 3:00:08 PM,453,487,510,523
G_10/16/2017 3:00:09 PM,462,490,519,527
G_10/16/2017 3:00:10 PM,472,485,512,522
G_10/18/2017 1:24:36 PM,489,,,
G_10/2/2017 12:29:16 PM,346,365,398,415
G_10/2/2017 12:29:27 PM,347,366,379,389
G_10/2/2017 12:36:08 PM,348,368,383,416
G_10/2/2017 12:58:52 PM,349,373,380,419
G_10/2/2017 1:28:36 PM,350,372,378,397
G_10/2/2017 1:29:16 PM,351,374,385,401
G_10/2/2017 1:29:43 PM,352,371,,
G_10/2/2017 1:29:49 PM,353,370,381,399
G_10/2/2017 2:01:14 PM,354,367,382,400
G_10/2/2017 2:01:59 PM,355,375,384,405
G_10/23/2017 12:58:25 PM,524,548,553,569
G_10/23/2017 1:25:13 PM,526,546,552,570
G_10/23/2017 1:33:47 PM,528,549,554,571
G_10/23/2017 2:49:05 PM,535,572,597,617
G_10/23/2017 3:23:59 PM,536,545,551,568
G_10/25/2017 12:59:32 PM,547,550,567,585
G_10/4/2017 1:28:43 PM,369,,,
G_10/9/2017 12:28:01 PM,386,421,436,455
G_10/9/2017 12:28:08 PM,387,417,437,449
G_10/9/2017 12:31:17 PM,388,447,474,508
G_10/9/2017 1:01:56 PM,391,,,
G_10/9/2017 1:06:42 PM,396,418,438,450
G_10/9/2017 2:05:13 PM,402,420,,
G_10/9/2017 2:06:26 PM,403,427,454,473
G_10/9/2017 2:30:09 PM,404,428,448,464
G_10/9/2017 2:38:15 PM,406,426,441,457
G_10/9/2017 2:38:30 PM,407,425,442,458
G_10/9/2017 3:02:16 PM,408,429,470,525
G_10/9/2017 3:24:26 PM,409,424,443,460
G_10/9/2017 3:24:38 PM,410,423,440,456
G_10/9/2017 3:26:28 PM,411,422,439,452
G_12/4/2017 12:23:41 PM,728,757,800,817
G_12/4/2017 12:23:46 PM,729,760,801,816
G_12/4/2017 12:28:58 PM,730,759,814,818
G_12/4/2017 12:31:53 PM,731,756,815,819
G_12/4/2017 12:59:57 PM,732,761,803,820
G_12/4/2017 1:00:30 PM,733,767,,
G_12/4/2017 1:09:21 PM,734,763,805,824
G_12/4/2017 1:09:28 PM,735,774,812,827
G_12/4/2017 1:29:20 PM,736,768,807,826
G_12/4/2017 1:29:48 PM,737,765,806,825
G_12/4/2017 2:00:17 PM,738,769,810,829
G_12/4/2017 2:00:25 PM,739,771,804,822
G_12/4/2017 2:03:10 PM,740,762,,
G_12/4/2017 2:03:23 PM,741,772,811,
G_12/4/2017 2:33:04 PM,742,776,809,831
G_12/4/2017 2:34:35 PM,743,770,828,
G_12/4/2017 2:34:50 PM,744,775,813,832
G_12/4/2017 2:35:04 PM,745,773,802,830
G_12/4/2017 3:03:07 PM,746,766,821,839
G_12/6/2017 12:29:20 PM,758,,,
G_12/6/2017 1:15:40 PM,764,808,823,840
